variant,side,gate,rsi_n,th,exit,period,N,Win,AvgPct,PF,Hold,Stops,CAR,MaxDD,Sharpe,CapUsed,CorrSPY
L-mcslope-rsi2<10-chan,L,mcslope,2,10,chan,IS,1729,0.5222672064777328,-0.0028238878085434433,0.8858926924427343,10.6951995373048,0.21920185078079815,0.07355789265391688,-0.20472554278693766,0.5014377227620297,0.7572751322751323,0.7148423885225144
L-mcslope-rsi2<10-chan,L,mcslope,2,10,chan,OOS,2238,0.5996425379803396,0.009208829166524147,1.5096675364267735,10.928954423592494,0.1456657730116175,0.1755935795009591,-0.2218384099972983,1.0475013990080304,0.840691192865106,0.6988746815360186
L-mcslope-rsi2<10-sma5+choch,L,mcslope,2,10,sma5+choch,IS,1949,0.6177526936890713,0.0008339634389691871,1.063666983297498,4.655720882503848,0.11185223191380195,0.00981701421603387,-0.24080728257316797,0.13968599915682334,0.5715608465608466,0.6096269314363019
L-mcslope-rsi2<10-sma5+choch,L,mcslope,2,10,sma5+choch,OOS,2510,0.6278884462151394,0.0048696758404297,1.4825659247873615,4.834661354581673,0.06812749003984064,0.18847669915247267,-0.14044856882310497,1.2209694472404162,0.6133779264214047,0.6092995054594977
L-mcslope-rsi2<10-time5,L,mcslope,2,10,time5,IS,1918,0.5187695516162669,0.0003332838764107339,1.0203168013109136,6.864963503649635,0.09019812304483837,-0.008313052517923913,-0.2679730699705515,0.03396687503306343,0.6820105820105818,0.7085884341670184
L-mcslope-rsi2<10-time5,L,mcslope,2,10,time5,OOS,2445,0.5586912065439673,0.007719064563219996,1.5816510224289055,7.044171779141104,0.05644171779141104,0.20032915053260858,-0.2403395571274869,1.186711950472195,0.7477146042363434,0.6640996314917502
L-mcslope-rsi2<15-sma5,L,mcslope,2,15,sma5,IS,2744,0.6475947521865889,0.002169843260219089,1.16781667764531,5.019679300291545,0.11479591836734694,-0.0050180420692105265,-0.29742762099481257,0.055521178184082316,0.6231481481481482,0.6261315255672837
L-mcslope-rsi2<15-sma5,L,mcslope,2,15,sma5,OOS,3502,0.6504854368932039,0.0050628878291271405,1.4681952975892225,5.250142775556824,0.07652769845802398,0.17967067313340457,-0.2040169331346947,1.1015748191185766,0.801783723522854,0.6266667279058096
L-mcslope-rsi2<15-rsi,L,mcslope,2,15,rsi,IS,2637,0.6541524459613197,0.002395940028130029,1.1557718915300157,6.346605991657186,0.14979142965491088,0.009634409965487478,-0.27691713595681,0.14385504741957056,0.6809523809523809,0.670589834127717
L-mcslope-rsi2<15-rsi,L,mcslope,2,15,rsi,OOS,3370,0.6623145400593472,0.0051740302996331694,1.3950018809272589,6.553115727002967,0.10504451038575667,0.14938603135436157,-0.26552818735234596,0.8647973827831968,0.789520624303233,0.6524702204521888
L-mcslope-rsi2<15-chan,L,mcslope,2,15,chan,IS,2309,0.5357297531398874,-0.0008136624639240645,0.9651655278975287,10.831961888263317,0.20831528800346472,0.008268833949659937,-0.3457451748007192,0.14223451715467875,0.8144179894179894,0.7900525782547577
L-mcslope-rsi2<15-chan,L,mcslope,2,15,chan,OOS,3001,0.6004665111629457,0.008612166434227277,1.4626761477867805,10.8757080973009,0.15128290569810063,0.12722630418709224,-0.24931093428916207,0.7903091619516296,0.8973244147157191,0.7065186449636983
L-mcslope-rsi2<15-sma5+choch,L,mcslope,2,15,sma5+choch,IS,2806,0.632216678545973,0.0021573007784495128,1.1796129178695616,4.555951532430506,0.09764789736279401,-0.003288421907721606,-0.2824390948448121,0.06338732037686506,0.6107142857142857,0.6009454236474976
L-mcslope-rsi2<15-sma5+choch,L,mcslope,2,15,sma5+choch,OOS,3603,0.6291978906466833,0.004536934880445016,1.4480574564988213,4.689425478767694,0.06439078545656397,0.20899655702073394,-0.1615310497465262,1.254908865661178,0.7657748049052396,0.6312229104394536
L-mcslope-rsi2<15-time5,L,mcslope,2,15,time5,IS,2712,0.5291297935103245,0.002339075341118205,1.1490385001812762,6.904867256637168,0.08296460176991151,0.043383990493688795,-0.23528003620744142,0.3228645112749666,0.7305555555555556,0.7028718644684517
L-mcslope-rsi2<15-time5,L,mcslope,2,15,time5,OOS,3433,0.5601514710166036,0.007760622867623946,1.5645246151225254,7.058549373725604,0.056219050393242063,0.22251945895472836,-0.2261514673353785,1.305805898270715,0.8568561872909699,0.6743033795807811
L-mcslope-rsi3<5-sma5,L,mcslope,3,5,sma5,IS,129,0.6124031007751938,-0.0030046564910061603,0.857063332324484,4.852713178294573,0.23255813953488372,-0.01144519737009353,-0.09506307731172425,-0.1807647989876138,0.05899470899470899,0.2546763101612206
